Nhãn,Name,Numbers of Comment,Features,Rating,Numbers of Rating,Price,Loại card đồ họa,Loại CPU,Dung lượng RAM,Loại RAM,Số khe ram,Ổ cứng,Chất liệu,Bảo mật,Màn hình cảm ứng,Chất liệu tấm nền,Kích thước màn hình,Độ phân giải màn hình,Công nghệ màn hình,Webcam,Khe đọc thẻ nhớ,Hệ điều hành,Wi-Fi,Bluetooth,Công nghệ âm thanh,Tính năng đặc biệt,Pin,Kích thước,Trọng lượng,Cổng giao tiếp,Tần số quét,Loại đèn bàn phím,Hãng sản xuất,Unnamed: 34,Unnamed: 5,Loại màn hình,Unnamed: 31,Socket,Độ phân giải
Van phong,Laptop LG Gram 2023 14ZD90R-G.AX51A5,1,"Sở hữu thiết kế sang trọng, mỏng  nhẹ với trọng lượng chỉ 999gram
Màn hình 14 inch WUXGA cực sắc nét
CPU Intel Core i5-1340P mạnh mẽ cân mọi tác vụ văn phòng
RAM 8GB đi cùng ổ cứng 256GB SSD cho phép lưu trữ nhiều file, tài liệu
Hỗ trợ mở khóa khuôn mặt giúp mở máy chỉ trong tích tắc
",,,21.990.000 đ,,"Intel Core i5-1340P (12 lõi: 4P + 8E, P: 1.9 up to 4.6 GHz / E: 1.4 up to 3.4 GHz), 12 MB",8GB,"LPDDR5 (Dual Channel, 6000MHz)",,NVMe 256GB SSD (Hai khe cắm M.2 SSD),,,Không,Tấm nền IPS,14 inches,1920 x 1200 pixels (WUXGA),"Màn hình chống chói
Độ sáng 350nit
Độ phủ màu DCI-P3 99% (Thông thường), tối thiểu 95%",FHD IR Webcam (Nhận diện khuôn mặt Hello Windows),Có,FREE OS,"Intel Wireless-AX211 (802.11ax, 2x2, Dual Band, BT Combo)",Bluetooth 5.1,"Âm thanh HD
Dolby Atmos","Ổ cứng SSD, Wi-Fi 6, Nhận diện khuôn mặt","72 Wh Li-Ion, thời lượng pin lên đến 24.5 giờ (Video playback)",31.2 x 21.39 x 1.68 cm,999 gram,"2x USB 3.2 Gen2 x1
2x USB 4 Gen3 x2 Type C (Sạc, Display Port, Thunderbolt 4)
1x HDMI
1x DC-in
1x Micro SD",60 Hz,,,Intel Iris Xe Graphics,,,,,
Sinh vien,Laptop HP Pavilion 15-EG2064TX 7C0W8PA,1,"Sở hữu thiết kế sang trọng với lớp vỏ màu vàng gold tinh tế, kích thước máy gọn nhẹ chỉ 1.75 kg dễ dàng bỏ vào balo mang theo bên người.
Màn hình 15.6 inch với độ phân giải Full HD cho chất lượng hình ảnh sắc nét, độ sáng 250 nits, cùng độ phù màu 45% NTSC hiển thị màu sắc khá tốt.
CPU Intel Core i5-1235U cùng card đồ họa MX550 xử lý đa tác vụ của máy, cho phép người dùng sử dụng các ứng dụng một cách mượt mà.
RAM 8GB kết hợp ổ cứng SSD 256GB PCIe NVMe cho người dùng một không gian lưu trữ rộng rãi, đồng thời đẩy nhanh tốc độ truy xuất dữ liệu, giúp mở máy và khởi động ứng dụng một cách nhanh chóng.
Dọc hai bên máy là các cổng kết nối thông dụng như: USB Type-A, USB Type-C, HDMI,... giúp bạn kết nối dễ dàng với các thiết bị ngoại vi.
Wi-Fi 802.11 ax và Bluetooth 5.2 hiện đại đảm bảo các kết nối trực tuyến của bạn luôn được ổn định, mượt mà.
",,,14.890.000 đ,,"Intel Core i5-1235U 10 lõi / 12 luồng, 12MB Intel Smart Cache",8GB,DDR4 3200MHz,2 x DDR4 3200MHz,256GB SSD PCIe NVMe M.2,,,Không,Tấm nền IPS,15.6 inches,1920 x 1080 pixels (FullHD),"Bright View
Độ sáng 250nits
Độ phủ màu 45% NTSC",HP Wide Vision 720p HD với micrô kỹ thuật số dãy kép tích hợp,Không,Windows 11 Home 64bit,Wifi 802.11 ax,Bluetooth 5.2,,"Ổ cứng SSD, Wi-Fi 6",3 Cell 41 WHrs,36.02 x 23.4 x 1.79 cm (W x D x H),1.75 kg,"1x USB Type-C (Sạc, DisplayPort 1.4, HP ngủ và sạc)
2x USB Type-A
1x HDMI 2.0
1x Headphone/microphone comb",,,,,,,NVIDIA GeForce MX550 2GB GDDR6,,
Gaming,Laptop MSI Gaming Alpha 15 B5EEK-205VN,4,"Thiết kế gam màu đen sang trọng, tính tế, dễ dàng thu hút ánh nhìn
CPU R7-5800H không chỉ xử lý tác vụ văn phòng tốt mà còn chơi game thoải mái
Màn hình 15.6 inch cùng tần số quét 144Hz cho phép bạn trải nghiệm mượt mà hình ảnh khi chơi game
Ram 16GB giúp sử dùng cùng lúc nhiều tab mà vẫn không lo lag máy
Ổ cứng 512GB SSD cho phép bạn lưu trữ một lượng lớn dữ liệu
",,,20.490.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van phong,Laptop HP Elitebook 630 G9 6M142PA,0,"Sở hữu thiết kế thời thượng với các đường nét thiết kế mềm mại, sang trọng
Màn hình 13.3 inch Full HD mang đến cho bạn những khung hình sắc nét, sống động
CPU Intel Core i5-1235U cho bạn khả năng vận hành xử lý nhanh chóng, mượt mà
Chất lượng đồ họa đỉnh cao với chip đồ họa Intel Iris Xe Graphics
RAM 8GB đạt chuẩn DDR4 cho khả năng đa nhiệm tốt thao tác cùng lúc nhiều tác vụ mà không lo lag, giật
",,,18.490.000 đ,Intel Iris Xe Graphics,"Intel Core i5-1235U ( 1.3 GHz - 4.4GHz / 12MB / 10 nhân, 12 luồng )",8GB,3200MHz,1 x 8GB + 1 khe trống,256GB SSD M.2 NVMe,Vỏ nhựa,,Không,Tấm nền IPS,13.3 inches,1080 x 1920 pixels (FullHD),Màn hình chống lóa,HD webcam,,Windows 11,WiFi 802.11ax (Wifi 6),Bluetooth 5.2,,"Ổ cứng SSD, Wi-Fi 6",3 cell 42 Wh,30.69 x 20.84 x 1.59 cm,1.3 kg,"2x USB 3.2
1x Thunderbolt 4
Audio combo
LAN 1 Gb/s",60Hz,,,,,,,,
Van phong,Laptop HP Pavilion 15-EG2084TU 7C0Q6PA,1,"Chip Intel Core I5-1240P, card đồ họa Intel Iris Xe Graphics thích hợp cho người dùng văn phòng tác vụ nặng như load các file báo cáo, excel hàng nghìn dòng
RAM 8GB đa nhiệm cho mọi thao tác mượt mà, mở nhiều tab cùng lúc mà không lo lag, giật
Kết nối không giới hạn, trò chuyện qua video call trên camera HP Wide Vision 720p HD
Trọng lượng chỉ 1.75 kg có thể mang đi và di chuyển dễ dàng
Máy đi kèm Windows 11 Home bản quyền
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinh vien,Laptop Asus VivoBook 14 OLED A1405VA-KM095W,30,"Sở hữu thiết kế gọn nhẹ cùng tông màu bạc sang trọng, chắc hẳn là một sản phẩm được mọi người yêu thích
Màn hình 14 inch đi kèm với độ phủ màu 100% DCI-P3 chắc hẳn sẽ đem lại trải nghiệm tuyệt vời về hình ảnh, video
Trang bị CPU Intel Core i5-13500H giúp bạn xử lý được các tác vụ văn phòng, giải trí và chỉnh sửa hình ảnh nhẹ trên PTS
Ổ cứng SSD 512GB giúp bạn có được không gian lưu trữ dữ liệu rộng lớn
",,,18.290.000 đ,Intel Iris Xe Graphics,"Intel Core i5-13500H (18MB Cache, upto 4.7GHz, 12 lõi / 16 luồng)",16GB,8GB DDR4 on board + 8GB DDR4 SO-DIMM,,512GB M.2 NVM PCIe 3.0 SSD,Vỏ nhựa,,Không,Tấm nền OLED/AMOLED,14 inches,2880 x 1800 pixels,"Thời gian phản hồi 0,2ms
Độ sáng tối đa 600nits HDR
Độ phủ màu 100% DCI-P3",720p HD với màn trập camera,Không,Windows 11 Home,Wi-Fi 6E(802.11ax) (Dual band) 1x1,Bluetooth 5,,"Ổ cứng SSD, Wi-Fi 6","50WHrs, 3-cell Li-ion",31.71 x 22.20 x 1.99 ~ 1.99 cm (W x H x D),1.6 kg,"1x USB 2.0 Type-A
1x USB 3.2 Gen 1 Type-C
2x USB 3.2 Gen 1 Type-A
1x HDMI 1.4
1x Jack cắm tai nghe",90Hz,,,,,,,,
Sinh vien,Laptop Lenovo IdeaPad Flex 5 14IAU7 82R700JQVN,0,"Sở hữu thiết kế tinh tế với tone màu xám đẹp mắt
Giải quyết mọi tác vụ học tập, văn phòng với CPU Intel Core i3 - 1215U
Màn hình cảm ứng 14 inch 2.2K cực sắc nét hỗ trợ học tập, làm việc, thao tác nhanh chóng
RAM 8GB cùng ổ cứng 512GB rộng rãi hỗ trợ lưu trữ nhiều file, tài liệu học tập
Trang bị đầy đủ cổng kết nối giúp truyền tải dữ liệu nhanh chóng
",,,Giá Liên Hệ,,"Intel Core i3-1215U (6C (2P + 4E) / 8T, P-core 1.2 / 4.4GHz, E-core 0.9 / 3.3GHz, 10MB)",8GB,LPDDR4x-4266 Onboard,,512GB SSD M.2 2242 PCIe 4.0x4 NVMe,Vỏ kim loại,Firmware TPM 2.0,Có,Tấm nền IPS,14 inches,2240 x 1400 pixels,"Độ sáng 300nits
Độ phủ màu 100% sRGB
TÜV Low Blue Light",FHD 1080p với màn trập camera,Có,Windows 11 Home,"Wi-Fi 6, 11ax 2x2",Bluetooth 5.1,"Âm thanh độ phân giải cao (HD)
Realtek ALC3287 codec
2W x2
Dolby Audio","Ổ cứng SSD, Wi-Fi 6, Màn hình cảm ứng",52.5Wh,313.1 x 224.9 x 17.4 mm (W x D x H),1.5 kg,"1x USB 3.2 Gen 1
x USB 3.2 Gen 1 (Always On)
1x Thunderbolt 4 / USB4 40Gbps (Truyền dữ liệu, Power Delivery 3.0, DisplayPort 1.4a)
1x HDMI 1.4b
1x Đầu đọc thẻ
1x Headphone / microphone combo jack (3.5mm)
1x Đầu nối nguồn",,,,,,,Intel UHD Graphics,,
Gaming,Laptop Lenovo Ideapad Gaming Legion 5 15IAH7H 82RC008LVN,17,"Cấu hình chơi game và đồ họa đỉnh cao, cân mọi tựa game - i5-12500H cùng card rời RTX 3050 có khả năng chỉnh sửa hình ảnh trên PTS, Render video ngắn mượt mà.
Ổ cứng SSD 512GB mang đến tốc độ xử lý nhanh cùng đa nhiệm mượt mà, mở nhiều trang cùng lúc không bị giật, lag.
Kích thước chuẩn 15.6 inch, độ phân giải Full HD, tấm nền IPS, tần số quét 165Hz mang lại trải nghiệm hình ảnh chân thật, sắc nét.
Tích hợp webcam 1080p cho phép đàm thoại thông qua video thoải mái.
Bàn phím được tích hợp đèn 4-Zone RGB Backlit - Thỏa sức làm việc trong môi trường thiếu sáng
Năng lượng bất tận cả ngày với viên pin 3 Cell, 80Wh.
Trọng lượng 2.35 kg mang lại cảm giác cầm chắc tay.
Máy đi kèm Windows 11 bản quyền. 
",,,23.990.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinh vien,Laptop Lenovo Thinkpad X1 Carbon gen 6,0,"May có thiết kế mỏng, trọng lượng nhẹ chỉ 1.13 kg giúp bạn không cảm giác quá nặng trong quá trình di chuyển
Màn hình 14 inch phù hợp cho nhu cầu làm việc và giải trí
CPU i7 8550U mạnh mẽ, thích hợp giải quyết các tác vụ văn phòng
RAM 256GB kết hợp cùng ổ cứng SSD giúp bạn mở các tab một cách nhanh chóng không bị lag máy
",,,Giá Liên Hệ,Intel UHD 620,"Intel Core i7 8550U 1GHz (4 nhân / 8 lõi, up to 4GHz, 8MB cache)",16GB,LPDDR3 2133MHz,1 thanh RAM 16GB,SSD,,,Không,Tấm nền IPS,14 inches,1920 x 1080 pixels (FullHD),"Độ sáng tối đa 300 nits
Độ phủ màu 90% sRGB",Có,Có,,,Có,,Ổ cứng SSD,57WHr Li-ion,32 x 21 x 1.6 mm (Dài x Rộng x Cao),1.13 kg,"2 x cổng USB Type A 3.1 Gen 1 2 x cổng USB Type C 1 x HDMI 1 x Jack tai nghe 3.5mm 1 x khe nanoSim
1x micro SD",60 Hz,,Lenovo,,,Màn hình,,,
Gaming,Laptop Gaming MSI Stealth 15M A11SDK 060VN,1,"""- Chip i7-1185G7 cùng card đồ họa rời GTX 1660 Ti cho khả năng chiến các tựa game nặng, chỉnh sửa hình ảnh trên PTS, Render video ngắn mượt mà
Ram 16GB với 1 khe cắm có thể nâng cấp tối đa lên 32GB cùng ổ cứng SSD 512GB mang đến tốc độ xử lý nhanh cùng đa nhiệm mượt mà
Màn hình 15.6 inches với tần số 144hz và dải màu 45%NTSC cho trải nghiệm màu sắc chân thực
Tích hợp web cam HD 720p cho phép đàm thoại thông qua video thoải mái
Thiết kế vỏ kim loại chắc chắn, nặng 1.69 kg thuận tiện di chuyển, mang theo
Máy đi kèm Windows 10 Home bản quyền
""
",,,34.490.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van phong,Laptop Dell Inspiron 3511 26F1K,28,"Chip Intel Core i3-1115G4 - Cấu hình ổn định, phục vụ tốt các tác vụ văn phòng.
8 GB RAM cùng ổ cứng chuẩn SSD cung cấp 128 GB lưu trữ, phục vụ nhiều nhu cầu sử dụng.
Màn hình công nghệ chống chói - Làm việc không lo bị mỏi mắt.
Đa dạng các cổng kết nối: jack cắm audio, cổng HDMI 1.4, cổng USB C,...dễ truyền hoặc xuất dữ liệu với nhiều thiết bị khác nhau.
Tích hợp webcam 720p HD cho phép đàm thoại thông qua video thoải mái.
Thiết kế vỏ nhựa cứng cáp, nặng 1.83 kg thuận tiện di chuyển, mang theo.
Máy đi kèm Windows 10 bản quyền.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van phong,Laptop Asus ZenBook S 13 OLED UX5304VA-NQ125W,1,"Sở hữu thiết kế sang trọng với tone màu xám lịch lãm
Cân mọi tác vụ học tập, văn phòng với CPU Intel Core i7-1355U
Card Intel Iris Xe Graphics hỗ trợ chỉnh sửa ảnh cơ bản, giải trí với các tựa game nhẹ
RAM lên đến 16GB mở hàng tục tabs Chrome mà không lo giật, lag
Ổ cứng 512GB SSD giúp mở máy nhanh chóng, không gian lưu trữ file, tài liệu rộng rãi
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaming,Laptop ASUS Gaming TUF FX506LHB-HN188W,164,"""Chip I5-10300H cùng card đồ họa rời GeForce GTX 1650 edit video thoải mái, chiến game hiệu năng hàng đầu
Ram 8GB, nâng cấp tối đa 32GB cùng ổ cứng SSD có không gian lưu trữ lên tới 512GB mang lại thời gian khởi động hay load ứng dụng nhanh chóng
Màn hình 15.6 inches với độ phân giải Full HD, độ phủ màu SRGB 62.5% chất lượng hiển thị rõ ràng
Đa dạng cổng giao tiếp, dễ dàng sử dụng
Bàn phím được tích hợp đèn nền LED RGB - sống động trong từng trận đấu
Vỏ nhựa cứng cáp, trọng lượng máy 2.30 kg cho cảm giác cầm chắc tay
Máy đi kèm Windows 11 Home bản quyền""
",5.0/5,1.0,14.990.000₫,NVIDIA® GeForce® GTX 1650,Intel Core i5-10300H,8GB,DDR4 2933MHz,2 khe cắm tối đa 32GB,512GB M.2 NVMe PCIe 3.0 SSD,Vỏ nhựa,Khóa Kensington,Không,Tấm nền IPS,15.6 inches,1920 x 1080 pixels (FullHD),"Tần số quét 144Hz, màn hình chống lóa, độ sáng 250 nit, độ phủ màu 45% NTSC, 62.5% SRGB, 47.1% Adobe",720p,,Windows 11 Home SL,Wi-Fi 6(802.11ax),v5.2,Loa kép,"Ổ cứng SSD, Wi-Fi 6","48WHrs, 3S1P, 3-cell Li-ion",35.9 x 25.6 x 2.47 ~ 2.49 cm,2.30 Kg,"1x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A
1x USB 3.2 Gen 1 Type-C support DisplayPort™ / G-SYNC
1x 3.5mm Combo Audio Jack
1x HDMI 2.0b",,LED RGB,,,,,,,
Gaming,Laptop MSI Cyborg 15 A12UCX-281VN,9,"Sở hữu thiết kế mỏng nhẹ, giúp bạn mang theo bên người mà không có cảm giác quá nặng
CPU I5-12450H cùng card đồ họa RTX2050 giúp bạn thỏa thích trải nghiệm các tựa game mà không lo máy lag
Ổ cứng SSD 512GB cùng RAM 8GB giúp bạn có một không gian lưu trữ lớn nhưng laptop vẫn hoạt động mượt mà
Màn hình 15.6 inch cùng độ phủ màu 45% NTSC đem lại trải nghiệm sắc nét khi chơi game
",,,17.490.000 đ,NVIDIA GeForce RTX 2050 4GB,"i5-12450H (12MB Cache, up to 4.4 GHz, 12 lõi / luồng)",8GB,DDR5 4800Mhz,2 khe RAM (nâng cấp tối đa 64GB),512GB NVMe PCIe SSD Gen4x4,,,Không,Tấm nền IPS,15.6 inches,1920 x 1080 pixels (FullHD),Độ phủ màu 45% NTSC,HD type (30fps720p),,Windows 11 Home,Wi-Fi 6,Bluetooth v5.2,,"Ổ cứng SSD, Wi-Fi 6","53.5 Whr, 3-Cell",359.36 x 250.34 x 21.95~22.9 mm (Dài x Rộng X Cao),1.98 kg,"1x Type-C USB3.2 Gen1/ DP1.4
2x USB 3.2 Gen1 Type-A
1x HDMI 2.1
1x Jack cắm tai nghe",144Hz,,,,,,,,
Sinh vien,Laptop Dell Vostro 3520,10,"CPU Intel Core i5 1235U xử lý mượt mà các tác vụ thường ngày như lướt web, soạn thảo săn bản, xem phim, giải trí,...
RAM 8 GB đủ để sử dụng cho các tác vụ học tập, làm việc văn phòng
Ổ cứng SSD 512 GB cho tốc độ đọc, ghi cao, rút ngắn đáng kể thời gian phản hồi
Màn hình lớn 15.6 inch Full HD cho góc nhìn rộng lớn với chất lượng hình ảnh hiển thị rõ nét, trung thực
Hỗ trợ đầy đủ cổng giao tiếp: USB 3.2, HDMI, jack tai nghe 3.5 mm, LAN (RJ45),... hỗ trợ kết nối thuận tiện
",,,13.990.000 đ,,"Intel Core i5 - 1235U (10 lõi / 12 luồng, up to 4.40 GHz, 12 MB)",8GB,DDR4 2666 MHz,1 khe,"512 GB, M.2, PCIe NVMe, SSD",Vỏ nhựa,,Không,Tấm nền WVA,15.6 inches,1920 x 1080 pixels (FullHD),"Màn hình chống chói
Độ sáng 250 nit
Viền mỏng",Camera HD 720p,,Free OS,Wifi 802.11ac 1x1,Có,"Loa âm thanh nổi
2 W x 2 = 4 W","Ổ cứng SSD, Viền màn hình siêu mỏng, Wi-Fi 6","3 Cell, 41 Wh",16.96 - 22.47 x 358.50 x 235.56 mm (Dày x Rộng x Dài),1.66 kg,"2x USB 3.2 Gen 1
1x USB 2.0
1x Tai nghe
1x HDMI 1.4
1x RJ45 Ethernet",120 Hz,,,,,Màn hình,Intel UHD Graphics,,
Gaming,Laptop Gaming Nitro 5 Eagle AN515-57-53F9,20,"Chip Intel Core i5-11400H cùng card đồ họa rời Geforce RTX 3050 cho khả năng chiến các tựa game AAA
Độ phủ màu 100% sRGB mang lại màu sắc chính xác khi làm đồ hoạ, chỉnh sửa hình ảnh
Ram 8GB + 1 khe, nâng cấp tối đa 32GB cùng ổ cứng SSD lên tới 512GB cho tốc độ xử lý mượt mà, nhanh chóng, không lo giật lag
Màn hình 15.6 inches trên tấm nền IPS với độ phân giải Full HD cùng tần số 144Hz cho trải nghiệm hình ảnh, màu sắc chân thực, sinh động
Đa dạng cổng giao tiếp, dễ dàng sử dụng
Máy đi kèm Windows 11 SL bản quyền
",,,19.990.000 đ,NVIDIA® GeForce RTX™ 3050 4GB,Intel® Core™ i5-11400H 6 nhân 12 luồng,8GB,DDR4 3200MHz,"2 khe
Nâng cấp tối đa 32GB","512GB PCIe NVMe
1 khe hdd 2.5', 1 khe SSD trống",Vỏ nhựa,,Không,Tấm nền IPS,15.6 inches,1920 x 1080 pixels (FullHD),"Tần số quét 144hz
Phủ màu 100% sRGB",720p,,Windows 11,802.11 a/b/g/n+acR2+ax,Bluetooth 5.1,,"Ổ cứng SSD, Wi-Fi 6",57.5 Wh 4-cell,363.4 x 255 x 23.9 mm,2.2kg,,,LED RGB,,,,,,,
Sinh vien,Laptop Lenovo Thinkpad T14 gen 3,0,"Sở hữu CPU i7 1260P cùng card đồ họa Intel Iris Xe giúp bạ xử lý tốt các công việc văn phòng và xử lý ảnh nhẹ
Màn hình 14 inch có độ phân giải WUXGA giúp bạn trải nghiệm hình ảnh chân thật, sắc nét
Ổ cứng SSD có dung lượng 2TB, là không gian lưu trữ rộng lớn, không cần copy dữ liệu qua USB
Trang bị nhiều cổng kết nối giúp quá trình xuất/nhập dữ liệu trở nên thuận tiện
Thiết kế mỏng nhẹ, sang trọng, trọng lượng chỉ 1.36 kg giúp bạn không thấy khó chịu khi mang bên mình
",,,Giá Liên Hệ,,"i7 1260P 3.4GHz (up to 4.7 GHz, 18MB Cache)",,DDR4 3200Mhz,,2TB SSD PCIe Gen 4,Vỏ kim loại,"Bảo mật Intel vPro
Đầu đọc dấu vân tay cảm ứng khi bật nguồn
Bảo vệ thông tin cá nhân
Discrete Trusted Platform Module (dTPM) 2.0 chip
Khe khóa Kensington
Tile ready",Có,Tấm nền IPS,14 inches,1920 x 1200 pixels (WUXGA),"Màn hình chống chói
Độ sáng tối đa 300nits
Độ phủ màu 45%",Webcam HD RG với màn trập riêng tư,Có,,Wifi 6E,Bluetooth 5.2,,"Ổ cứng SSD, Wi-Fi 6, Bảo mật vân tay",52.5Wh,317.7 x 226.9 x 17.9 mm ( Dài x Rộng x Cao),1.36 kg,"2 x Intel Thunderbolt 4
2 x USB-A 3.2 Thế hệ 1
1 x HDMI2.0b
1 x Combo tai nghe/mic
1 x RJ45
1 x Khe sim",,,Lenovo,,,Màn hình,Intel Iris Xe,,
Gaming,Laptop MSI Gaming GF63 12VE-460VN,10,"CPU Intel Core i5 12450H cùng card rời NVIDIA GeForce RTX 4050 6 GB mang đến hiệu năng mạnh mẽ, thoải mái chiến các tựa game phổ biến
RAM 8 GB DDR4 cho khả năng đa nhiệm chơi game, xử lý công việc với các ứng dụng nặng mà không lo giật lag
Ổ cứng SSD 512 GB cho bạn thỏa sức tải nhiều tựa game hot, tệp tin hay ứng dụng
Màn hình rộng 15.6 inch Full HD mang đến không gian hiển thị rộng lớn, hình ảnh rõ nét
Tần số quét 144 Hz giúp giảm xé hình hay trễ ảnh, tận hưởng giờ phút chơi game mượt mà
",,,20.990.000 đ,,"Intel Core i5 Alder Lake - 12450H (8 lõi / 12 luồng, 2.00 GHz, Turbo Boost 4.4 GHz, 12MB)",8GB,DDR4 3200 MHz,"2 khe (1 khe 8 GB + 1 khe rời, hỗ trợ nâng cấp tối đa 64GB)","512 GB SSD NVMe PCIe Gen 4.0
Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng",Vỏ kim loại,,Không,Tấm nền IPS,15.6 inches,1920 x 1080 pixels (FullHD),Màn hình chống chói,HD webcam,Không,Windows 11 Home SL,Wi-Fi 6 (802.11ax),Bluetooth 5.2,"Hi-Res Audio
Nahimic Audio","Ổ cứng SSD, Wi-Fi 6","3-cell Li-ion, 52.4 Wh",359 x 254 x 21.7 mm (Dài x Rộng x Dày),1.86 kg,"1x HDMI
1x Jack tai nghe 3.5 mm
3x USB 3.2
1x USB Type-C (hỗ trợ USB 3.2, DisplayPort)
1x LAN (RJ45)",144 Hz,Đơn sắc - Màu đỏ,,,NVIDIA GeForce RTX 4050 6 GB,Màn hình,,,
Van phong,Laptop Dell Vostro 3520,1,"Hiệu năng ổn định với I7-1235U xử lý tốt các tác vụ từ văn phòng đến chỉnh sứa hình ảnh
RAM 8 GB tối ưu hoá tốt hiệu suất sử dụng, cho phép mở nhiều ứng dụng cùng lúc
SSD 512 GB NVMe tốc độ cao rút ngắn thời gian load ứng dụng
Giải trí sống động với màn hình 15.6 inch cùng độ phân giải full HD
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van phong,Laptop Asus Vivobook 15 OLED A1505ZA-L1245W,1,"CPU Intel Core i5 - 12500H giúp bạn xử lý trơn tru các tác vụ từ văn phòng, giải trí đến đồ họa như thiết kế hình ảnh, video đơn giản
RAM 8 GB mạnh mẽ cho phép bạn có thể vừa nghe nhạc vừa mở nhiều tab trên trình duyệt web mà vẫn mượt mà, ít bị giật lag
Ổ cứng SSD 512 GB cho không gian lưu trữ lớn, truy xuất dữ liệu được nhanh hơn
Màn hình 15.6 inch OLED cùng đạt chuẩn Display HDR True Black 600 cho hình ảnh đạt chất lượng cao, màu sắc rực rỡ có độ tương phản cao
",,,15.490.000 đ,Intel UHD Graphics,"Intel Core i5-12500H (2.5 GHz, 18M Cache, up to 4.5 GHz, 4P + 8E cores)",8GB,DDR4 Onboard,,512GB M.2 NVMe PCIe 3.0 SSD,Vỏ nhựa,"Cảm biến vân tay tích hợp Touchpad
McAfee LiveSafe
Khởi động BIOS Bảo vệ mật khẩu người dùng
BIOS setup user password
Mô-đun nền tảng đáng tin cậy (Firmware TPM)",Không,Tấm nền OLED/AMOLED,15.6 inches,1920 x 1080 pixels (FullHD),"Thời gian phản hồi 0.2ms
Độ sáng 600nits HDR
Độ phủ màu 100% DCI-P3
Display HDR True Black 600
1.07 tỷ màu
Giảm ánh sáng xanh 70%
TÜV Rheinland-certified
SGS Eye Care Display",720p HD với màn trập camera,,Windows 11 Home,Wi-Fi 6 (802.11ax) (Dual band) 2*2,Bluetooth 5.3,"Loa tích hợp
Micrô mảng tích hợp","Ổ cứng SSD, Wi-Fi 6, Bảo mật vân tay","50WHrs, 3S1P, 3-cell Li-ion",35.68 x 22.76 x 1.99 ~ 1.99 cm (W x H x D),1.70 kg,"1x USB 2.0 Type-A
1x USB 3.2 Gen 1 Type-C
2x USB 3.2 Gen 1 Type-A
1x HDMI 1.4
1x 3.5mm Combo Audio Jack
1x DC-in",60 Hz,,,,,,,,
